,pop_17,white_17,hh_17,hinc_17,mhval_17,mhval_17_se,mrent_17,mrent_17_se,total_25_17,total_25_col_bd_17,total_25_col_md_17,total_25_col_pd_17,total_25_col_phd_17,tot_units_built_17,units_40_49_built_17,units_39_early_built_17,ohu_17,rhu_17,mmhcosts_17,iinc_17,I_10000_17,I_15000_17,I_20000_17,I_25000_17,I_30000_17,I_35000_17,I_40000_17,I_45000_17,I_50000_17,I_60000_17,I_75000_17,I_100000_17,I_125000_17,I_150000_17,I_200000_17,I_201000_17,mov_wc_w_income_17,mov_wc_9000_17,mov_wc_15000_17,mov_wc_25000_17,mov_wc_35000_17,mov_wc_50000_17,mov_wc_65000_17,mov_wc_75000_17,mov_wc_76000_more_17,mov_oc_w_income_17,mov_oc_9000_17,mov_oc_15000_17,mov_oc_25000_17,state_x,county_x,tract_x,mov_oc_35000_17,mov_oc_50000_17,mov_oc_65000_17,mov_oc_75000_17,mov_oc_76000_more_17,mov_os_w_income_17,mov_os_9000_17,mov_os_15000_17,mov_os_25000_17,mov_os_35000_17,mov_os_50000_17,mov_os_65000_17,mov_os_75000_17,mov_os_76000_more_17,mov_fa_w_income_17,mov_fa_9000_17,mov_fa_15000_17,mov_fa_25000_17,mov_fa_35000_17,mov_fa_50000_17,mov_fa_65000_17,mov_fa_75000_17,mov_fa_76000_more_17,FIPS,mhval_12,mhval_12_se,mrent_12,mrent_12_se,mov_wc_w_income_12,mov_wc_9000_12,mov_wc_15000_12,mov_wc_25000_12,mov_wc_35000_12,mov_wc_50000_12,mov_wc_65000_12,mov_wc_75000_12,mov_wc_76000_more_12,mov_oc_w_income_12,mov_oc_9000_12,mov_oc_15000_12,mov_oc_25000_12,mov_oc_35000_12,mov_oc_50000_12,mov_oc_65000_12,mov_oc_75000_12,mov_oc_76000_more_12,mov_os_w_income_12,mov_os_9000_12,mov_os_15000_12,mov_os_25000_12,mov_os_35000_12,mov_os_50000_12,mov_os_65000_12,mov_os_75000_12,mov_os_76000_more_12,mov_fa_w_income_12,mov_fa_9000_12,mov_fa_15000_12,mov_fa_25000_12,mov_fa_35000_12,mov_fa_50000_12,mov_fa_65000_12,mov_fa_75000_12,mov_fa_76000_more_12,iinc_12,state_y,county_y,tract_y
0,5186.0,4788.0,1853.0,88203.0,284400.0,10747.0,2016.0,329.0,3484.0,1031.0,408.0,83.0,32.0,1898.0,16.0,15.0,1563.0,290.0,1860.0,35306.0,74.0,58.0,51.0,65.0,24.0,104.0,44.0,59.0,16.0,69.0,189.0,273.0,174.0,252.0,229.0,172.0,26.0,0.0,0.0,0.0,8.0,8.0,10.0,0.0,0.0,151.0,12.0,9.0,30.0,17,197,881002,18.0,48.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17197881002,285700.0,21281.0,1698.0,151.0,76.0,0.0,0.0,0.0,9.0,9.0,30.0,19.0,9.0,146.0,80.0,17.0,0.0,8.0,0.0,41.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,16.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,35250.0,17,197,881002
1,6394.0,5600.0,2011.0,121463.0,354200.0,19351.0,-666666666.0,-222222222.0,4496.0,985.0,738.0,141.0,79.0,2047.0,9.0,30.0,1971.0,40.0,2206.0,44474.0,0.0,16.0,23.0,34.0,0.0,25.0,23.0,39.0,34.0,245.0,68.0,299.0,219.0,252.0,429.0,305.0,125.0,40.0,0.0,0.0,11.0,35.0,0.0,0.0,39.0,162.0,0.0,53.0,31.0,17,197,881105,16.0,11.0,21.0,0.0,30.0,19.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17197881105,358700.0,22077.0,1857.0,1029.0,132.0,39.0,0.0,20.0,0.0,7.0,33.0,33.0,0.0,70.0,19.0,0.0,0.0,30.0,0.0,10.0,0.0,11.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37675.0,17,197,881105
2,5180.0,4607.0,1698.0,85913.0,211100.0,22366.0,1357.0,313.0,3365.0,500.0,174.0,34.0,21.0,1875.0,86.0,34.0,1422.0,276.0,1299.0,30734.0,35.0,18.0,72.0,75.0,8.0,54.0,50.0,45.0,44.0,169.0,111.0,290.0,299.0,120.0,272.0,36.0,99.0,8.0,0.0,43.0,21.0,17.0,10.0,0.0,0.0,209.0,26.0,0.0,53.0,17,197,880502,12.0,10.0,51.0,9.0,48.0,17.0,9.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17197880502,199000.0,19822.0,973.0,48.0,217.0,78.0,31.0,19.0,0.0,45.0,44.0,0.0,0.0,241.0,123.0,0.0,42.0,8.0,20.0,48.0,0.0,0.0,24.0,9.0,0.0,7.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32531.0,17,197,880502
3,3127.0,2366.0,1342.0,48516.0,103400.0,22682.0,715.0,90.0,2089.0,234.0,64.0,0.0,13.0,1579.0,139.0,193.0,937.0,405.0,809.0,25639.0,114.0,67.0,212.0,38.0,41.0,59.0,80.0,39.0,40.0,73.0,162.0,215.0,105.0,58.0,23.0,16.0,115.0,37.0,12.0,9.0,41.0,0.0,0.0,16.0,0.0,23.0,0.0,8.0,15.0,17,197,883700,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17197883700,123700.0,15719.0,722.0,97.0,93.0,9.0,0.0,17.0,42.0,0.0,0.0,25.0,0.0,116.0,21.0,35.0,31.0,0.0,29.0,0.0,0.0,0.0,23.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23560.0,17,197,883700
4,7590.0,3017.0,2247.0,90172.0,173900.0,13983.0,1551.0,202.0,4864.0,1154.0,335.0,76.0,24.0,2385.0,22.0,25.0,1948.0,299.0,1684.0,32374.0,54.0,12.0,0.0,63.0,27.0,77.0,90.0,179.0,98.0,143.0,209.0,446.0,286.0,225.0,271.0,67.0,185.0,118.0,0.0,45.0,0.0,11.0,0.0,11.0,0.0,242.0,55.0,0.0,19.0,17,197,880105,0.0,15.0,41.0,86.0,26.0,19.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,12.0,59.0,0.0,25.0,0.0,23.0,11.0,0.0,0.0,0.0,17197880105,212300.0,17179.0,1815.0,227.0,38.0,0.0,0.0,14.0,0.0,13.0,0.0,11.0,0.0,102.0,55.0,32.0,0.0,0.0,6.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,10.0,0.0,0.0,0.0,12.0,0.0,30377.0,17,197,880105
5,5337.0,2565.0,1772.0,85896.0,214400.0,19603.0,1695.0,129.0,3646.0,1013.0,341.0,72.0,47.0,1863.0,19.0,7.0,1541.0,231.0,1596.0,33415.0,92.0,38.0,48.0,14.0,53.0,13.0,52.0,77.0,20.0,184.0,142.0,360.0,297.0,144.0,94.0,144.0,107.0,0.0,24.0,9.0,0.0,20.0,42.0,0.0,12.0,67.0,25.0,0.0,0.0,17,197,880109,26.0,5.0,11.0,0.0,0.0,52.0,8.0,0.0,12.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17197880109,209700.0,13385.0,1982.0,394.0,72.0,26.0,0.0,17.0,14.0,0.0,15.0,0.0,0.0,66.0,11.0,0.0,6.0,8.0,27.0,0.0,14.0,0.0,58.0,12.0,0.0,11.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28523.0,17,197,880109
6,2260.0,876.0,627.0,83125.0,169500.0,12100.0,1587.0,602.0,1414.0,243.0,95.0,22.0,2.0,644.0,0.0,61.0,546.0,81.0,1586.0,31069.0,0.0,1.0,32.0,29.0,10.0,15.0,6.0,42.0,18.0,59.0,60.0,133.0,114.0,68.0,28.0,12.0,147.0,6.0,7.0,49.0,80.0,3.0,0.0,0.0,2.0,26.0,2.0,0.0,0.0,17,197,880112,0.0,7.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17197880112,190300.0,14676.0,1609.0,262.0,63.0,22.0,0.0,29.0,0.0,12.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,5.0,53.0,0.0,0.0,52.0,12.0,15.0,0.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26937.0,17,197,880112
7,3720.0,947.0,997.0,52297.0,138000.0,17675.0,1284.0,263.0,2281.0,294.0,113.0,14.0,9.0,1142.0,16.0,7.0,584.0,413.0,1308.0,23480.0,22.0,24.0,88.0,45.0,71.0,47.0,31.0,66.0,65.0,97.0,84.0,140.0,99.0,47.0,59.0,12.0,140.0,50.0,22.0,51.0,0.0,17.0,0.0,0.0,0.0,128.0,16.0,0.0,35.0,17,197,880113,25.0,14.0,24.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17197880113,145900.0,14930.0,1500.0,198.0,47.0,15.0,0.0,10.0,5.0,17.0,0.0,0.0,0.0,87.0,23.0,21.0,0.0,7.0,9.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,25216.0,17,197,880113
8,4315.0,1680.0,1243.0,51627.0,124800.0,11136.0,859.0,62.0,2432.0,139.0,55.0,0.0,13.0,1408.0,119.0,846.0,723.0,520.0,972.0,22099.0,87.0,29.0,48.0,64.0,22.0,107.0,121.0,68.0,28.0,204.0,129.0,151.0,51.0,42.0,92.0,0.0,223.0,51.0,24.0,85.0,52.0,0.0,1.0,0.0,10.0,97.0,32.0,0.0,10.0,17,197,881800,0.0,18.0,15.0,0.0,22.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17197881800,140500.0,13728.0,820.0,45.0,406.0,151.0,74.0,28.0,108.0,12.0,13.0,20.0,0.0,67.0,12.0,14.0,35.0,6.0,0.0,0.0,0.0,0.0,12.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23700.0,17,197,881800
9,5541.0,3549.0,2135.0,84863.0,237600.0,11149.0,927.0,309.0,4007.0,785.0,441.0,0.0,76.0,2147.0,228.0,105.0,1795.0,340.0,1481.0,49753.0,35.0,111.0,112.0,46.0,15.0,155.0,44.0,0.0,73.0,117.0,209.0,215.0,284.0,220.0,415.0,84.0,193.0,0.0,15.0,2.0,0.0,20.0,127.0,0.0,29.0,18.0,0.0,0.0,18.0,17,031,561000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17031561000,245600.0,14112.0,699.0,268.0,117.0,23.0,60.0,0.0,19.0,0.0,15.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32684.0,17,031,561000
10,1600.0,500.0,464.0,57045.0,182900.0,10770.0,1104.0,111.0,1132.0,133.0,22.0,0.0,3.0,500.0,16.0,177.0,208.0,256.0,1105.0,30152.0,39.0,35.0,25.0,0.0,44.0,20.0,22.0,23.0,3.0,23.0,42.0,72.0,50.0,43.0,8.0,15.0,66.0,0.0,12.0,7.0,29.0,0.0,15.0,0.0,3.0,8.0,8.0,0.0,0.0,17,031,640100,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,24.0,20.0,12.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17031640100,212500.0,109802.0,995.0,135.0,67.0,13.0,0.0,10.0,6.0,25.0,0.0,13.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,47.0,11.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21046.0,17,031,640100
11,6464.0,143.0,1505.0,44063.0,124800.0,70275.0,847.0,41.0,3551.0,82.0,10.0,0.0,0.0,1691.0,180.0,797.0,832.0,673.0,902.0,20579.0,72.0,17.0,97.0,106.0,170.0,68.0,114.0,131.0,71.0,194.0,204.0,128.0,74.0,39.0,8.0,12.0,289.0,40.0,54.0,81.0,65.0,32.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,17,031,630500,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17031630500,197900.0,24468.0,816.0,47.0,217.0,68.0,60.0,48.0,41.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,38.0,0.0,12.0,11.0,0.0,0.0,0.0,0.0,21563.0,17,031,630500
12,2307.0,151.0,745.0,24972.0,111400.0,18786.0,689.0,47.0,1324.0,40.0,5.0,0.0,0.0,912.0,107.0,498.0,217.0,528.0,700.0,20354.0,63.0,57.0,106.0,147.0,89.0,49.0,22.0,29.0,32.0,68.0,39.0,33.0,0.0,6.0,0.0,5.0,53.0,26.0,0.0,22.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,031,611100,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,7.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17031611100,151600.0,30448.0,650.0,113.0,201.0,72.0,81.0,48.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15041.0,17,031,611100
13,3298.0,102.0,924.0,35016.0,125700.0,23082.0,720.0,54.0,1886.0,88.0,6.0,0.0,0.0,1225.0,29.0,574.0,297.0,627.0,749.0,17539.0,94.0,45.0,89.0,97.0,92.0,44.0,178.0,94.0,9.0,28.0,59.0,69.0,26.0,0.0,0.0,0.0,253.0,48.0,37.0,136.0,22.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,031,611400,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17031611400,158800.0,43638.0,721.0,53.0,192.0,98.0,13.0,72.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14971.0,17,031,611400
14,4246.0,2017.0,1677.0,42274.0,190600.0,13035.0,905.0,53.0,2940.0,270.0,129.0,0.0,8.0,1768.0,39.0,165.0,833.0,844.0,971.0,26130.0,100.0,114.0,108.0,120.0,101.0,30.0,190.0,112.0,93.0,227.0,109.0,140.0,119.0,56.0,58.0,0.0,261.0,55.0,55.0,14.0,39.0,74.0,16.0,8.0,0.0,29.0,0.0,0.0,29.0,17,031,640600,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17031640600,235800.0,18909.0,831.0,42.0,365.0,130.0,13.0,75.0,38.0,84.0,25.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24951.0,17,031,640600
15,6979.0,566.0,1729.0,49135.0,159500.0,6374.0,1062.0,171.0,4062.0,266.0,47.0,13.0,36.0,1792.0,348.0,74.0,1311.0,418.0,1167.0,21931.0,43.0,107.0,51.0,186.0,66.0,76.0,115.0,52.0,182.0,220.0,202.0,160.0,160.0,52.0,48.0,9.0,583.0,150.0,0.0,65.0,145.0,132.0,91.0,0.0,0.0,10.0,0.0,0.0,10.0,17,031,650400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,17031650400,174400.0,14210.0,1182.0,129.0,321.0,27.0,84.0,60.0,56.0,49.0,18.0,0.0,27.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,120.0,59.0,37.0,24.0,0.0,0.0,0.0,0.0,0.0,51.0,44.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,20383.0,17,031,650400
16,5075.0,335.0,1310.0,40000.0,152200.0,12867.0,780.0,31.0,2641.0,106.0,63.0,21.0,0.0,1473.0,172.0,559.0,587.0,723.0,844.0,19496.0,184.0,51.0,89.0,67.0,93.0,85.0,86.0,115.0,65.0,108.0,133.0,155.0,59.0,0.0,9.0,11.0,194.0,47.0,0.0,101.0,30.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,17,031,660500,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,33.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,17031660500,166700.0,12379.0,849.0,79.0,186.0,49.0,10.0,64.0,0.0,48.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20241.0,17,031,660500
17,6544.0,273.0,1883.0,46050.0,134700.0,11643.0,1064.0,197.0,3899.0,145.0,60.0,17.0,0.0,2027.0,502.0,191.0,1264.0,619.0,1209.0,22369.0,128.0,101.0,137.0,116.0,92.0,155.0,85.0,117.0,77.0,147.0,275.0,253.0,100.0,44.0,46.0,10.0,303.0,34.0,38.0,150.0,12.0,46.0,0.0,0.0,23.0,16.0,0.0,0.0,16.0,17,031,661100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17031661100,158700.0,7778.0,854.0,86.0,183.0,14.0,11.0,55.0,54.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26121.0,17,031,661100
18,1068.0,5.0,373.0,14848.0,81400.0,17648.0,728.0,174.0,791.0,36.0,16.0,0.0,0.0,526.0,148.0,223.0,220.0,153.0,632.0,14678.0,97.0,92.0,14.0,31.0,10.0,3.0,0.0,8.0,27.0,30.0,26.0,17.0,0.0,10.0,8.0,0.0,12.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,031,670600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17031670600,104200.0,45923.0,889.0,229.0,135.0,33.0,0.0,64.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15036.0,17,031,670600
19,736.0,0.0,326.0,31923.0,112900.0,11711.0,892.0,200.0,505.0,52.0,55.0,0.0,0.0,495.0,29.0,311.0,85.0,241.0,908.0,15391.0,81.0,42.0,0.0,10.0,20.0,23.0,3.0,40.0,13.0,0.0,19.0,41.0,13.0,5.0,16.0,0.0,50.0,21.0,0.0,0.0,20.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,17,031,690500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17031690500,137900.0,33786.0,795.0,118.0,80.0,0.0,0.0,19.0,31.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16861.0,17,031,690500
20,2444.0,4.0,1054.0,49297.0,151400.0,27050.0,876.0,47.0,1906.0,367.0,135.0,11.0,0.0,1292.0,204.0,783.0,497.0,557.0,1036.0,29490.0,124.0,140.0,34.0,43.0,53.0,55.0,0.0,55.0,32.0,36.0,186.0,96.0,91.0,42.0,32.0,35.0,245.0,36.0,40.0,34.0,25.0,32.0,32.0,0.0,46.0,0.0,0.0,0.0,0.0,17,031,691000,0.0,0.0,0.0,0.0,0.0,30.0,20.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17031691000,169500.0,29017.0,840.0,107.0,113.0,24.0,5.0,19.0,27.0,9.0,19.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28308.0,17,031,691000
21,5458.0,26.0,1826.0,35581.0,119800.0,14397.0,928.0,71.0,3652.0,166.0,156.0,29.0,8.0,2223.0,513.0,662.0,942.0,884.0,964.0,20592.0,275.0,160.0,98.0,118.0,108.0,131.0,131.0,80.0,123.0,106.0,192.0,164.0,60.0,28.0,23.0,29.0,198.0,11.0,38.0,60.0,39.0,8.0,12.0,12.0,18.0,0.0,0.0,0.0,0.0,17,031,710400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17031710400,151800.0,20416.0,949.0,79.0,256.0,112.0,107.0,0.0,18.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19823.0,17,031,710400
22,4669.0,3569.0,1818.0,82128.0,232900.0,11796.0,1051.0,182.0,3244.0,809.0,302.0,7.0,20.0,1968.0,316.0,221.0,1344.0,474.0,1306.0,44388.0,47.0,8.0,46.0,71.0,16.0,32.0,132.0,108.0,42.0,206.0,131.0,339.0,197.0,141.0,236.0,66.0,236.0,0.0,0.0,57.0,24.0,33.0,38.0,65.0,19.0,7.0,0.0,0.0,7.0,17,031,740400,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17031740400,250300.0,15622.0,905.0,191.0,214.0,12.0,40.0,20.0,14.0,22.0,61.0,11.0,34.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44956.0,17,031,740400
23,5463.0,3695.0,1967.0,60017.0,177100.0,13506.0,993.0,151.0,4023.0,607.0,194.0,17.0,0.0,2101.0,105.0,90.0,1299.0,668.0,1132.0,31304.0,72.0,90.0,40.0,110.0,100.0,54.0,60.0,109.0,94.0,254.0,375.0,218.0,177.0,77.0,69.0,68.0,198.0,59.0,18.0,17.0,27.0,77.0,0.0,0.0,0.0,81.0,31.0,14.0,21.0,17,031,770800,0.0,0.0,0.0,0.0,15.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17031770800,212300.0,22665.0,921.0,67.0,175.0,86.0,11.0,40.0,0.0,25.0,0.0,0.0,13.0,24.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27289.0,17,031,770800
24,2268.0,1903.0,1014.0,88534.0,433300.0,47556.0,1413.0,126.0,1673.0,672.0,416.0,116.0,39.0,1137.0,72.0,141.0,900.0,114.0,1482.0,57045.0,36.0,0.0,12.0,22.0,29.0,23.0,11.0,18.0,24.0,148.0,97.0,146.0,81.0,50.0,87.0,230.0,41.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,25.0,0.0,0.0,0.0,0.0,17,031,800800,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,17031800800,467200.0,54745.0,1647.0,175.0,63.0,0.0,9.0,6.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45357.0,17,031,800800
25,7698.0,5044.0,4598.0,51905.0,413600.0,93816.0,1163.0,91.0,5764.0,1870.0,884.0,322.0,260.0,5252.0,300.0,1058.0,579.0,4019.0,1239.0,31223.0,797.0,301.0,115.0,323.0,23.0,243.0,112.0,117.0,143.0,367.0,311.0,720.0,326.0,358.0,91.0,251.0,1213.0,138.0,109.0,114.0,136.0,220.0,99.0,81.0,316.0,268.0,95.0,0.0,0.0,17,031,081000,28.0,19.0,126.0,0.0,0.0,708.0,280.0,50.0,14.0,4.0,25.0,123.0,27.0,185.0,134.0,56.0,0.0,0.0,28.0,24.0,26.0,0.0,0.0,17031081000,394700.0,110959.0,1050.0,92.0,1358.0,218.0,76.0,110.0,149.0,242.0,147.0,86.0,330.0,157.0,129.0,0.0,0.0,12.0,0.0,0.0,0.0,16.0,681.0,305.0,43.0,41.0,29.0,104.0,82.0,36.0,41.0,71.0,13.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,28006.0,17,031,081000
