,pop_18,white_18,hh_18,hinc_18,mhval_18,mhval_18_se,mrent_18,mrent_18_se,total_25_18,total_25_col_bd_18,total_25_col_md_18,total_25_col_pd_18,total_25_col_phd_18,tot_units_built_18,units_40_49_built_18,units_39_early_built_18,ohu_18,rhu_18,mmhcosts_18,iinc_18,I_10000_18,I_15000_18,I_20000_18,I_25000_18,I_30000_18,I_35000_18,I_40000_18,I_45000_18,I_50000_18,I_60000_18,I_75000_18,I_100000_18,I_125000_18,I_150000_18,I_200000_18,I_201000_18,mov_wc_w_income_18,mov_wc_9000_18,mov_wc_15000_18,mov_wc_25000_18,mov_wc_35000_18,mov_wc_50000_18,mov_wc_65000_18,mov_wc_75000_18,mov_wc_76000_more_18,mov_oc_w_income_18,mov_oc_9000_18,mov_oc_15000_18,mov_oc_25000_18,state_x,county_x,tract_x,mov_oc_35000_18,mov_oc_50000_18,mov_oc_65000_18,mov_oc_75000_18,mov_oc_76000_more_18,mov_os_w_income_18,mov_os_9000_18,mov_os_15000_18,mov_os_25000_18,mov_os_35000_18,mov_os_50000_18,mov_os_65000_18,mov_os_75000_18,mov_os_76000_more_18,mov_fa_w_income_18,mov_fa_9000_18,mov_fa_15000_18,mov_fa_25000_18,mov_fa_35000_18,mov_fa_50000_18,mov_fa_65000_18,mov_fa_75000_18,mov_fa_76000_more_18,FIPS,mhval_12,mhval_12_se,mrent_12,mrent_12_se,mov_wc_w_income_12,mov_wc_9000_12,mov_wc_15000_12,mov_wc_25000_12,mov_wc_35000_12,mov_wc_50000_12,mov_wc_65000_12,mov_wc_75000_12,mov_wc_76000_more_12,mov_oc_w_income_12,mov_oc_9000_12,mov_oc_15000_12,mov_oc_25000_12,mov_oc_35000_12,mov_oc_50000_12,mov_oc_65000_12,mov_oc_75000_12,mov_oc_76000_more_12,mov_os_w_income_12,mov_os_9000_12,mov_os_15000_12,mov_os_25000_12,mov_os_35000_12,mov_os_50000_12,mov_os_65000_12,mov_os_75000_12,mov_os_76000_more_12,mov_fa_w_income_12,mov_fa_9000_12,mov_fa_15000_12,mov_fa_25000_12,mov_fa_35000_12,mov_fa_50000_12,mov_fa_65000_12,mov_fa_75000_12,mov_fa_76000_more_12,iinc_12,state_y,county_y,tract_y
0,3089.0,2722.0,1109.0,122125.0,559300.0,41507.0,1072.0,280.0,2298.0,715.0,172.0,83.0,43.0,1179.0,0.0,0.0,1024.0,85.0,1944.0,49190.0,40.0,22.0,0.0,0.0,0.0,8.0,0.0,45.0,18.0,34.0,101.0,185.0,135.0,117.0,145.0,259.0,136.0,0.0,10.0,16.0,0.0,17.0,22.0,25.0,46.0,130.0,12.0,50.0,0.0,53,061,052113,0.0,39.0,17.0,0.0,12.0,42.0,13.0,0.0,16.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53061052113,492000.0,33619.0,1010.0,372.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,36.0,23.0,0.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,44390.0,53,061,052113
1,5717.0,4602.0,2139.0,72821.0,252400.0,24503.0,1287.0,140.0,4026.0,515.0,173.0,0.0,0.0,2186.0,0.0,31.0,1526.0,613.0,1263.0,34576.0,53.0,47.0,71.0,94.0,140.0,80.0,50.0,194.0,82.0,124.0,165.0,401.0,314.0,153.0,141.0,30.0,316.0,48.0,49.0,18.0,96.0,24.0,50.0,0.0,31.0,49.0,0.0,0.0,0.0,53,061,052904,24.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,53061052904,227500.0,13420.0,1202.0,128.0,430.0,60.0,82.0,59.0,101.0,0.0,103.0,25.0,0.0,45.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,35.0,22.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29960.0,53,061,052904
2,5373.0,3444.0,1954.0,152222.0,634900.0,26642.0,3135.0,360.0,3868.0,1426.0,639.0,183.0,75.0,1974.0,0.0,0.0,1753.0,201.0,2487.0,58262.0,58.0,14.0,6.0,71.0,20.0,14.0,44.0,12.0,9.0,56.0,76.0,215.0,161.0,213.0,322.0,663.0,184.0,27.0,0.0,0.0,19.0,29.0,16.0,30.0,63.0,124.0,0.0,10.0,8.0,53,061,042005,10.0,26.0,0.0,0.0,70.0,68.0,9.0,0.0,0.0,0.0,0.0,0.0,12.0,47.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53061042005,547000.0,24644.0,1840.0,359.0,118.0,53.0,0.0,0.0,9.0,0.0,0.0,0.0,56.0,58.0,10.0,0.0,0.0,0.0,10.0,13.0,0.0,25.0,56.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53006.0,53,061,042005
3,2587.0,2214.0,929.0,86635.0,353200.0,22272.0,1385.0,402.0,1828.0,329.0,71.0,18.0,0.0,970.0,23.0,157.0,756.0,173.0,1626.0,39929.0,13.0,27.0,7.0,15.0,10.0,15.0,44.0,33.0,41.0,66.0,123.0,212.0,106.0,84.0,93.0,40.0,188.0,9.0,6.0,36.0,78.0,0.0,52.0,5.0,2.0,46.0,20.0,0.0,0.0,53,061,052504,0.0,2.0,19.0,0.0,5.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53061052504,297000.0,20561.0,1333.0,410.0,177.0,59.0,19.0,16.0,19.0,43.0,8.0,0.0,13.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30759.0,53,061,052504
4,4916.0,3637.0,1837.0,100586.0,445700.0,31173.0,1402.0,175.0,3524.0,966.0,487.0,167.0,73.0,1967.0,27.0,13.0,1527.0,310.0,1546.0,40813.0,24.0,43.0,39.0,62.0,58.0,34.0,27.0,22.0,94.0,215.0,153.0,140.0,277.0,167.0,166.0,316.0,226.0,44.0,50.0,0.0,1.0,49.0,20.0,0.0,62.0,257.0,18.0,53.0,0.0,53,061,051918,0.0,13.0,51.0,33.0,89.0,76.0,0.0,9.0,31.0,15.0,9.0,0.0,0.0,12.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53061051918,345300.0,15125.0,1179.0,120.0,90.0,0.0,15.0,13.0,12.0,0.0,40.0,0.0,10.0,158.0,0.0,0.0,50.0,29.0,13.0,30.0,11.0,25.0,40.0,28.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44704.0,53,061,051918
5,4309.0,3944.0,1723.0,74255.0,397800.0,35693.0,1427.0,359.0,3212.0,570.0,165.0,52.0,34.0,1781.0,131.0,67.0,1389.0,334.0,1680.0,35484.0,59.0,30.0,87.0,124.0,51.0,93.0,56.0,43.0,43.0,67.0,224.0,202.0,247.0,174.0,80.0,143.0,275.0,49.0,29.0,41.0,15.0,66.0,0.0,0.0,75.0,124.0,19.0,10.0,43.0,53,061,053201,26.0,0.0,8.0,0.0,18.0,26.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53061053201,344500.0,49380.0,1177.0,126.0,136.0,36.0,6.0,30.0,20.0,0.0,0.0,22.0,22.0,87.0,32.0,0.0,32.0,0.0,13.0,0.0,0.0,10.0,28.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31491.0,53,061,053201
6,7413.0,3925.0,2542.0,60714.0,197300.0,18005.0,1369.0,76.0,5079.0,694.0,162.0,57.0,0.0,2946.0,286.0,1589.0,1466.0,1076.0,1413.0,32887.0,54.0,54.0,140.0,139.0,194.0,56.0,145.0,17.0,149.0,307.0,344.0,313.0,430.0,39.0,100.0,61.0,494.0,60.0,37.0,98.0,78.0,121.0,45.0,16.0,39.0,221.0,39.0,0.0,0.0,53,053,062500,27.0,21.0,79.0,0.0,55.0,65.0,13.0,0.0,12.0,14.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53053062500,191300.0,10608.0,1128.0,190.0,842.0,151.0,42.0,243.0,163.0,164.0,79.0,0.0,0.0,70.0,23.0,0.0,0.0,0.0,33.0,14.0,0.0,0.0,30.0,0.0,0.0,16.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30256.0,53,053,062500
7,3292.0,1454.0,1172.0,52240.0,209600.0,16794.0,1142.0,110.0,2031.0,238.0,55.0,12.0,0.0,1283.0,211.0,415.0,610.0,562.0,1258.0,31550.0,66.0,24.0,29.0,23.0,86.0,71.0,74.0,41.0,86.0,253.0,124.0,101.0,101.0,38.0,43.0,12.0,128.0,22.0,0.0,0.0,14.0,30.0,27.0,14.0,21.0,37.0,5.0,5.0,16.0,53,053,063000,0.0,5.0,0.0,6.0,0.0,69.0,8.0,0.0,32.0,19.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53053063000,180700.0,9727.0,894.0,138.0,297.0,95.0,28.0,69.0,49.0,32.0,24.0,0.0,0.0,36.0,8.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,21.0,12.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28146.0,53,053,063000
8,5044.0,3857.0,1827.0,78027.0,289300.0,15992.0,1294.0,281.0,3762.0,835.0,271.0,38.0,29.0,1878.0,30.0,82.0,1597.0,230.0,1438.0,36690.0,75.0,53.0,68.0,62.0,41.0,75.0,81.0,11.0,63.0,165.0,189.0,277.0,156.0,129.0,227.0,155.0,203.0,23.0,27.0,22.0,15.0,30.0,19.0,39.0,28.0,121.0,29.0,14.0,46.0,53,053,071205,19.0,0.0,0.0,0.0,13.0,66.0,0.0,8.0,10.0,8.0,38.0,2.0,0.0,0.0,20.0,3.0,0.0,8.0,0.0,8.0,1.0,0.0,0.0,53053071205,273900.0,17462.0,999.0,186.0,157.0,35.0,0.0,35.0,36.0,7.0,10.0,18.0,16.0,25.0,14.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,22.0,0.0,0.0,0.0,10.0,12.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35833.0,53,053,071205
9,5268.0,4372.0,1712.0,91200.0,278900.0,11198.0,1307.0,310.0,3215.0,515.0,123.0,0.0,0.0,1788.0,0.0,8.0,1513.0,199.0,1643.0,37552.0,47.0,26.0,10.0,57.0,43.0,38.0,96.0,27.0,58.0,117.0,148.0,309.0,372.0,163.0,138.0,63.0,321.0,54.0,0.0,96.0,8.0,116.0,36.0,0.0,11.0,53.0,0.0,0.0,6.0,53,053,070310,0.0,12.0,7.0,20.0,8.0,68.0,33.0,0.0,12.0,15.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53053070310,239200.0,11291.0,1357.0,220.0,215.0,109.0,0.0,49.0,0.0,8.0,17.0,32.0,0.0,147.0,20.0,0.0,0.0,45.0,53.0,21.0,8.0,0.0,124.0,73.0,0.0,11.0,10.0,10.0,20.0,0.0,0.0,22.0,13.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,31733.0,53,053,070310
10,2372.0,1898.0,920.0,60000.0,268800.0,15034.0,1007.0,134.0,1750.0,216.0,108.0,26.0,0.0,1000.0,134.0,155.0,702.0,218.0,1053.0,32599.0,34.0,28.0,34.0,35.0,48.0,54.0,61.0,61.0,36.0,69.0,75.0,127.0,82.0,63.0,102.0,11.0,102.0,21.0,11.0,18.0,18.0,0.0,22.0,6.0,6.0,36.0,6.0,0.0,7.0,53,053,071100,11.0,12.0,0.0,0.0,0.0,29.0,6.0,6.0,5.0,6.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,53053071100,250000.0,36393.0,1037.0,289.0,196.0,26.0,10.0,12.0,51.0,36.0,0.0,0.0,61.0,33.0,26.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,14.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,30137.0,53,053,071100
11,4573.0,2956.0,1572.0,54049.0,179100.0,14011.0,1083.0,108.0,2817.0,177.0,48.0,0.0,0.0,1671.0,103.0,24.0,887.0,685.0,1176.0,30669.0,91.0,63.0,100.0,26.0,99.0,63.0,79.0,74.0,72.0,194.0,264.0,259.0,98.0,54.0,36.0,0.0,203.0,0.0,5.0,13.0,61.0,59.0,33.0,7.0,25.0,86.0,0.0,62.0,0.0,53,053,071409,17.0,7.0,0.0,0.0,0.0,46.0,10.0,0.0,9.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53053071409,188900.0,5574.0,1097.0,96.0,339.0,75.0,17.0,108.0,53.0,63.0,0.0,0.0,23.0,76.0,28.0,18.0,6.0,0.0,7.0,0.0,0.0,17.0,25.0,2.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,30396.0,53,053,071409
12,4195.0,1024.0,1476.0,30106.0,153600.0,13897.0,855.0,44.0,2409.0,273.0,33.0,9.0,0.0,1504.0,247.0,47.0,353.0,1123.0,876.0,22013.0,196.0,108.0,138.0,151.0,141.0,112.0,71.0,121.0,38.0,95.0,74.0,56.0,78.0,44.0,37.0,16.0,342.0,52.0,52.0,78.0,76.0,82.0,0.0,0.0,2.0,76.0,47.0,3.0,0.0,53,053,071805,15.0,0.0,11.0,0.0,0.0,51.0,0.0,0.0,40.0,0.0,11.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,11.0,53053071805,150000.0,55450.0,759.0,45.0,400.0,112.0,111.0,88.0,50.0,21.0,18.0,0.0,0.0,29.0,4.0,0.0,9.0,0.0,16.0,0.0,0.0,0.0,82.0,31.0,9.0,35.0,0.0,7.0,0.0,0.0,0.0,74.0,66.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,18999.0,53,053,071805
13,4158.0,2401.0,1934.0,31683.0,113000.0,53348.0,834.0,102.0,2736.0,167.0,53.0,8.0,42.0,2210.0,73.0,130.0,546.0,1388.0,825.0,24509.0,344.0,135.0,38.0,203.0,179.0,101.0,105.0,90.0,88.0,212.0,169.0,162.0,24.0,35.0,14.0,35.0,303.0,84.0,38.0,104.0,44.0,12.0,0.0,21.0,0.0,87.0,40.0,17.0,0.0,53,053,072000,0.0,1.0,0.0,0.0,29.0,168.0,17.0,21.0,0.0,49.0,50.0,0.0,17.0,14.0,29.0,17.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,53053072000,83300.0,74519.0,684.0,50.0,643.0,233.0,143.0,95.0,89.0,50.0,33.0,0.0,0.0,124.0,9.0,57.0,12.0,15.0,31.0,0.0,0.0,0.0,84.0,12.0,21.0,31.0,18.0,2.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,30.0,16.0,0.0,0.0,17155.0,53,053,072000
14,4845.0,2767.0,1893.0,63094.0,238500.0,13127.0,1152.0,47.0,3219.0,477.0,197.0,0.0,14.0,2051.0,39.0,37.0,1049.0,844.0,1235.0,36214.0,47.0,16.0,88.0,74.0,62.0,97.0,83.0,63.0,118.0,197.0,294.0,299.0,248.0,125.0,58.0,24.0,380.0,29.0,0.0,47.0,43.0,54.0,133.0,62.0,12.0,38.0,0.0,0.0,2.0,53,053,072112,6.0,30.0,0.0,0.0,0.0,218.0,39.0,78.0,14.0,27.0,12.0,36.0,12.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,53053072112,213100.0,11322.0,962.0,58.0,428.0,20.0,0.0,111.0,28.0,171.0,78.0,0.0,20.0,57.0,11.0,0.0,23.0,0.0,13.0,10.0,0.0,0.0,299.0,19.0,56.0,128.0,48.0,7.0,41.0,0.0,0.0,61.0,0.0,11.0,0.0,30.0,11.0,0.0,0.0,9.0,30691.0,53,053,072112
15,8373.0,5252.0,2942.0,79322.0,357900.0,21239.0,1172.0,103.0,5436.0,1143.0,527.0,238.0,55.0,2973.0,26.0,0.0,1772.0,1170.0,1563.0,31711.0,168.0,32.0,75.0,144.0,144.0,66.0,139.0,84.0,131.0,206.0,225.0,530.0,287.0,237.0,178.0,296.0,818.0,98.0,44.0,106.0,261.0,60.0,102.0,53.0,94.0,64.0,13.0,0.0,0.0,53,053,072308,15.0,36.0,0.0,0.0,0.0,82.0,30.0,0.0,0.0,27.0,25.0,0.0,0.0,0.0,43.0,24.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,53053072308,315600.0,25977.0,1210.0,199.0,632.0,161.0,27.0,38.0,112.0,97.0,128.0,41.0,28.0,58.0,11.0,0.0,4.0,17.0,0.0,12.0,0.0,14.0,282.0,44.0,13.0,0.0,124.0,76.0,0.0,0.0,25.0,41.0,18.0,0.0,0.0,0.0,0.0,13.0,0.0,10.0,41547.0,53,053,072308
16,3921.0,2792.0,1653.0,60065.0,282200.0,16044.0,1232.0,77.0,2595.0,642.0,260.0,22.0,0.0,1709.0,162.0,80.0,892.0,761.0,1296.0,35083.0,134.0,35.0,13.0,83.0,108.0,56.0,69.0,90.0,31.0,206.0,173.0,240.0,209.0,89.0,63.0,54.0,231.0,0.0,32.0,17.0,125.0,22.0,26.0,0.0,9.0,82.0,0.0,0.0,39.0,53,053,072310,0.0,43.0,0.0,0.0,0.0,194.0,33.0,37.0,23.0,22.0,67.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53053072310,265700.0,12178.0,1015.0,109.0,392.0,86.0,86.0,47.0,57.0,34.0,36.0,25.0,21.0,109.0,54.0,0.0,22.0,33.0,0.0,0.0,0.0,0.0,132.0,40.0,22.0,20.0,41.0,0.0,0.0,0.0,9.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,30683.0,53,053,072310
17,4213.0,3532.0,1558.0,113889.0,561900.0,55783.0,1221.0,214.0,2996.0,838.0,448.0,297.0,50.0,1680.0,49.0,75.0,1371.0,187.0,1650.0,48510.0,72.0,22.0,21.0,28.0,9.0,31.0,39.0,20.0,32.0,117.0,109.0,144.0,246.0,158.0,149.0,361.0,85.0,12.0,0.0,7.0,7.0,21.0,22.0,12.0,4.0,87.0,42.0,10.0,0.0,53,053,072405,0.0,18.0,8.0,0.0,9.0,64.0,8.0,11.0,0.0,14.0,7.0,9.0,0.0,15.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,53053072405,475000.0,127683.0,1163.0,97.0,254.0,69.0,38.0,29.0,11.0,22.0,31.0,31.0,23.0,68.0,55.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,53.0,37.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,27.0,36266.0,53,053,072405
18,8697.0,7366.0,3430.0,99300.0,410700.0,24752.0,1473.0,161.0,6314.0,1860.0,697.0,222.0,185.0,3610.0,0.0,101.0,2850.0,580.0,1711.0,51028.0,75.0,48.0,44.0,0.0,75.0,141.0,199.0,123.0,84.0,258.0,296.0,386.0,301.0,209.0,385.0,806.0,277.0,13.0,4.0,15.0,29.0,30.0,34.0,16.0,136.0,70.0,0.0,0.0,0.0,53,053,072505,0.0,12.0,19.0,0.0,39.0,355.0,103.0,11.0,31.0,0.0,29.0,75.0,28.0,78.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53053072505,338300.0,30915.0,1100.0,79.0,417.0,21.0,21.0,65.0,88.0,82.0,28.0,0.0,112.0,117.0,0.0,0.0,0.0,76.0,12.0,0.0,0.0,29.0,33.0,0.0,8.0,17.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39939.0,53,053,072505
19,9431.0,6410.0,3631.0,83273.0,317200.0,19105.0,1784.0,57.0,5751.0,1860.0,914.0,181.0,129.0,3892.0,13.0,183.0,1793.0,1838.0,1753.0,51964.0,159.0,11.0,20.0,49.0,116.0,112.0,116.0,149.0,154.0,218.0,439.0,903.0,337.0,257.0,384.0,207.0,456.0,44.0,22.0,43.0,80.0,91.0,71.0,43.0,62.0,127.0,0.0,0.0,42.0,53,053,072800,14.0,38.0,13.0,0.0,20.0,1015.0,26.0,138.0,23.0,214.0,244.0,191.0,41.0,138.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,71.0,53053072800,300100.0,15888.0,1776.0,72.0,448.0,19.0,57.0,88.0,71.0,49.0,50.0,7.0,107.0,32.0,0.0,0.0,12.0,0.0,0.0,0.0,7.0,13.0,845.0,71.0,11.0,17.0,203.0,155.0,130.0,8.0,250.0,155.0,0.0,0.0,31.0,21.0,11.0,33.0,12.0,47.0,52539.0,53,053,072800
20,3728.0,2855.0,1353.0,90647.0,280600.0,16774.0,1631.0,114.0,2681.0,591.0,227.0,8.0,29.0,1430.0,0.0,10.0,1088.0,265.0,1638.0,42179.0,54.0,39.0,11.0,24.0,0.0,57.0,28.0,31.0,8.0,92.0,174.0,262.0,212.0,152.0,108.0,101.0,128.0,13.0,0.0,0.0,0.0,34.0,59.0,0.0,22.0,62.0,0.0,0.0,0.0,53,053,073110,0.0,15.0,0.0,0.0,47.0,139.0,74.0,0.0,11.0,0.0,43.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53053073110,253600.0,25707.0,1204.0,541.0,362.0,183.0,8.0,53.0,59.0,43.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,14.0,0.0,12.0,8.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35802.0,53,053,073110
21,4176.0,3635.0,1523.0,80087.0,303300.0,23971.0,1821.0,239.0,2834.0,359.0,88.0,0.0,24.0,1675.0,48.0,59.0,1359.0,164.0,1667.0,40366.0,21.0,48.0,50.0,10.0,23.0,46.0,42.0,52.0,33.0,79.0,229.0,329.0,209.0,163.0,101.0,88.0,149.0,22.0,22.0,14.0,0.0,14.0,36.0,19.0,22.0,19.0,0.0,0.0,10.0,53,053,073118,0.0,9.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53053073118,273900.0,18172.0,812.0,212.0,130.0,9.0,15.0,1.0,10.0,25.0,46.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31856.0,53,053,073118
22,5527.0,4157.0,2390.0,51076.0,289000.0,31687.0,996.0,72.0,3593.0,671.0,58.0,17.0,13.0,2504.0,46.0,195.0,1097.0,1293.0,1102.0,32331.0,86.0,111.0,72.0,249.0,78.0,173.0,138.0,140.0,111.0,250.0,184.0,295.0,172.0,94.0,108.0,129.0,702.0,107.0,117.0,25.0,205.0,118.0,0.0,65.0,65.0,165.0,0.0,0.0,65.0,53,053,073301,42.0,0.0,29.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53053073301,263100.0,36960.0,847.0,40.0,762.0,173.0,52.0,213.0,156.0,94.0,54.0,0.0,20.0,154.0,49.0,36.0,8.0,20.0,41.0,0.0,0.0,0.0,43.0,5.0,0.0,0.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26822.0,53,053,073301
23,4441.0,3808.0,1731.0,71146.0,273700.0,17137.0,1633.0,97.0,3156.0,671.0,136.0,40.0,51.0,1831.0,150.0,433.0,1034.0,697.0,1533.0,36531.0,105.0,13.0,53.0,41.0,59.0,7.0,44.0,105.0,54.0,188.0,232.0,316.0,149.0,156.0,134.0,75.0,308.0,58.0,2.0,56.0,44.0,70.0,21.0,21.0,36.0,97.0,0.0,0.0,0.0,53,053,073302,10.0,23.0,25.0,8.0,31.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,16.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,53053073302,258000.0,13037.0,1175.0,239.0,254.0,54.0,0.0,26.0,64.0,38.0,12.0,7.0,53.0,175.0,24.0,10.0,12.0,28.0,28.0,31.0,15.0,27.0,32.0,22.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35690.0,53,053,073302
24,6439.0,2925.0,2030.0,64539.0,222400.0,12279.0,1650.0,94.0,3969.0,354.0,69.0,0.0,54.0,2085.0,0.0,0.0,1499.0,531.0,1581.0,36302.0,75.0,86.0,73.0,6.0,149.0,67.0,96.0,87.0,30.0,256.0,258.0,282.0,122.0,273.0,98.0,72.0,577.0,0.0,52.0,135.0,58.0,195.0,104.0,0.0,33.0,8.0,0.0,0.0,0.0,53,053,071411,8.0,0.0,0.0,0.0,0.0,117.0,15.0,0.0,0.0,48.0,11.0,8.0,0.0,35.0,201.0,0.0,0.0,114.0,5.0,0.0,82.0,0.0,0.0,53053071411,201400.0,15414.0,1531.0,168.0,266.0,39.0,18.0,9.0,96.0,90.0,0.0,8.0,6.0,57.0,38.0,3.0,0.0,16.0,0.0,0.0,0.0,0.0,92.0,8.0,10.0,0.0,6.0,44.0,0.0,24.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,35526.0,53,053,071411
25,6983.0,3681.0,2975.0,49441.0,234400.0,20328.0,1058.0,62.0,4847.0,692.0,232.0,79.0,32.0,3146.0,77.0,71.0,1017.0,1958.0,1098.0,28341.0,315.0,63.0,143.0,169.0,80.0,220.0,138.0,164.0,221.0,314.0,497.0,240.0,138.0,116.0,89.0,68.0,675.0,91.0,112.0,158.0,90.0,146.0,14.0,28.0,36.0,113.0,47.0,0.0,0.0,53,053,072106,19.0,47.0,0.0,0.0,0.0,516.0,105.0,0.0,182.0,107.0,11.0,72.0,39.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,53053072106,244300.0,27416.0,883.0,56.0,1030.0,234.0,107.0,263.0,265.0,161.0,0.0,0.0,0.0,307.0,230.0,20.0,13.0,0.0,44.0,0.0,0.0,0.0,346.0,0.0,36.0,0.0,33.0,134.0,101.0,42.0,0.0,112.0,13.0,0.0,0.0,56.0,29.0,14.0,0.0,0.0,25705.0,53,053,072106
